tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N13716,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N13718,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N13720,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N13750,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N137EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N138EV,2009,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N138SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N13903,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13908,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13913,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13975,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13978,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13979,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13988,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13989,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13992,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13994,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13995,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N13997,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N139SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N140SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N14102,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N14105,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14106,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N14107,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N14115,1995,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N14118,1997,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N14120,1997,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N14121,1997,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N14148,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14158,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14162,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14168,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14173,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14174,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14180,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14188,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N141SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N14203,2006,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N14214,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14219,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14228,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14230,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14231,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14235,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14237,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14240,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14242,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14249,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N14250,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N142SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N143DA,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N143SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N144SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N14542,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14543,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14558,NA,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14562,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14568,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14570,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14573,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N145SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N146PQ,2007,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N146SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N14704,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N14731,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N14735,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N147PQ,2007,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N148SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N14902,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14904,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14905,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14907,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14916,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14920,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14923,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14977,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14991,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14993,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N14998,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N149SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N1501P,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N150AA,1972,Fixed wing single engine,GRUMMAN AMERICAN AVN. CORP,AA-1A,1,2,100,Reciprocating
N150SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N151AA,2006,Fixed wing single engine,TAGUE LARRY,PIONEER 200,1,2,NA,Reciprocating
N151SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N152AA,2015,Fixed wing multi engine,AIRBUS,A321-231,2,379,NA,Turbo-fan
N152DL,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N152SY,2016,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N153AA,2007,Fixed wing single engine,AVIAT AIRCRAFT INC,A-1B,1,2,NA,Reciprocating
N153DL,1990,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N153PQ,2007,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N153SY,2016,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N154AA,2016,Fixed wing multi engine,AIRBUS,A321-231,2,379,NA,Turbo-fan
N154DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N154SY,2016,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N15555,NA,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15572,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15574,NA,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N155DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N156AA,2007,Fixed wing single engine,AVIAT AIRCRAFT INC,A-1B,1,2,NA,Reciprocating
N156DL,1991,Fixed wing multi engine,BOEING,767-3P6,2,290,NA,Turbo-fan
N156SY,2016,Fixed wing multi engine,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N15710,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N15751,1999,Fixed wing multi engine,BOEING,737-71Q,2,149,NA,Turbo-fan
N157AA,2016,Fixed wing multi engine,AIRBUS,A321-231,2,379,NA,Turbo-fan
N157SY,2016,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N15910,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15912,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15980,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15983,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N15986,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N1602,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1603,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1604R,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1605,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N16065,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N160SY,2016,Fixed wing multi engine,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N1610D,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N1612T,2001,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N16149,2003,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16170,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16178,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N16183,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N161AA,2016,Fixed wing multi engine,AIRBUS,A321-231,2,379,NA,Turbo-fan
N161PQ,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N161SY,2016,Fixed wing multi engine,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N16217,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N16234,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N162AA,2016,Fixed wing multi engine,AIRBUS,A321-231,2,379,NA,Turbo-fan
N162PQ,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N162SY,2016,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N163AA,2016,Fixed wing multi engine,AIRBUS,A321-231,2,379,NA,Turbo-fan
N163SY,2016,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N164SY,2016,Fixed wing multi engine,EMBRAER,ERJ 170-200 LR,2,88,NA,Turbo-fan
N16541,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16546,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16559,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16561,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16571,2002,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N165SY,2016,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N166PQ,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N166SY,2016,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N16701,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N16703,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N16709,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N16713,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N16732,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-fan
N167AA,1989,Fixed wing multi engine,GULFSTREAM AEROSPACE,G-IV,2,22,NA,Turbo-fan
N167SY,2016,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N168SY,2016,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N16911,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16919,2001,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16976,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16981,1999,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N16987,2000,Fixed wing multi engine,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N169DZ,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N170PQ,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N170SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N17104,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N17105,1994,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N17108,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N17115,2002,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N17122,1997,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N17126,1998,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N17128,1998,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N17133,1998,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N17139,2000,Fixed wing multi engine,BOEING,757-224,2,178,NA,Turbo-fan
N17159,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N17169,2004,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N17185,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N17196,2005,Fixed wing multi engine,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N171AA,2012,Fixed wing multi engine,CESSNA,510,2,7,NA,Turbo-fan
N171DN,1990,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N171DZ,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
N171SY,2015,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,NA,Turbo-fan
N17229,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
N17233,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
